"Label","Task","annotation_id","annotator","created_at","id","lead_time","sentiment","updated_at"
"O,B-Date,I-Date,O,B-Time,B-Task,O,B-Task,I-Task,I-Task","on february 3rd at 3 send the project panel discussion",25,"1","2025-04-12T09:23:47.702563Z",40,7.737,"Work","2025-04-12T09:23:47.702563Z"
"B-Task,O,B-Task,I-Task,O,B-Date,I-Date,O,B-Time","complete a apple follow-up by the 3rd in 17",26,"1","2025-04-12T09:23:58.235342Z",41,10.218,"Work","2025-04-12T09:23:58.235342Z"
"B-Task,I-Task,I-Task,I-Task,I-Task,O,B-Task,I-Task,O,O,B-Date,I-Date,I-Date,O,B-Time,I-Time","set up the mockup for the team lunch that is in 1 weeks at 12:30 pm",27,"1","2025-04-12T09:24:01.578621Z",42,3.03,"Work","2025-04-12T09:24:01.578621Z"
"B-Task,O,B-Task,I-Task,O,B-Task,I-Task,O,O,O,B-Date,O,B-Time","update a taxi for the trade show on Monday by tomorrow at 7:45",28,"1","2025-04-12T09:24:11.571523Z",43,9.653,"Work","2025-04-12T09:24:11.571523Z"
"O,O,O,B-Task,I-Task,I-Task,I-Task,O,B-Task,I-Task,O,B-Date","i need to attend a computer for the board meeting by Tuesday.",29,"1","2025-04-12T09:24:16.803242Z",44,4.91,"Work","2025-04-12T09:24:16.803242Z"
"B-Task,I-Task,I-Task,O,B-Task,I-Task,O,B-Date,O,B-Time","test shopping for the project timeline this Friday at eight",30,"1","2025-04-12T09:24:25.476873Z",45,8.056,"Personal","2025-04-12T09:24:25.476873Z"
"B-Task,I-Task,I-Task,O,B-Task,I-Task,O,B-Date,O,B-Time","book movie for the trade show this Tuesday at 9",31,"1","2025-04-12T09:24:50.299788Z",46,24.43,"Personal","2025-04-12T09:24:50.299788Z"
"B-Task,I-Task,I-Task,I-Task,I-Task,O,B-Date,I-Date,O,B-Time,I-Time","go through Grandma's medical prescriptions on sep 30th at 1:20 a.m..",32,"1","2025-04-12T09:24:57.330320Z",47,6.724,"Health","2025-04-12T09:24:57.330320Z"
"B-Task,O,B-Task,I-Task,O,B-Task,I-Task,O,O,O,B-Date,O,B-Time","finalize a taxi for the math quiz on Thursday by tomorrow at 3:30",33,"1","2025-04-12T09:25:11.254681Z",48,13.491,"School","2025-04-12T09:25:11.254681Z"
"B-Task,O,B-Task,I-Task,I-Task,I-Task,I-Task,O,B-Date,O,B-Time,I-Time","finish a lawyer to inspect the computer by tomorrow at 9 AM",34,"1","2025-04-12T09:25:28.385627Z",49,16.811,"Household","2025-04-12T09:25:28.385627Z"
"O,O,O,B-Task,O,B-Task,I-Task,I-Task,O,B-Date,O,B-Time,I-Time","remind me to prepare the trade show report before Wednesday at 3:45 PM",35,"1","2025-04-12T09:26:18.272497Z",50,49.555,"Work","2025-04-12T09:26:18.272497Z"
"O,O,B-Task,I-Task,I-Task,I-Task,I-Task,I-Task,I-Task,O,B-Date,I-Date,O,B-Time","Need to reserve the car key before the observance on sep 1st at 5:15",36,"1","2025-04-12T09:26:24.033594Z",51,5.236,"Work","2025-04-12T09:26:24.033594Z"
"B-Task,O,B-Task,I-Task,O,B-Date,I-Date,O,B-Time","email a presentation follow-up by the 30th in 23",37,"1","2025-04-12T09:26:26.873568Z",52,2.403,"Work","2025-04-12T09:26:26.873568Z"
"O,B-Date,I-Date,O,B-Time,B-Task,O,B-Task,I-Task,I-Task","on mar 2nd at 12 organize the project board meeting",38,"1","2025-04-12T09:26:29.598469Z",53,2.372,"Work","2025-04-12T09:26:29.598469Z"
"B-Task,O,B-Task,I-Task,I-Task,I-Task,I-Task,O,B-Date,I-Date,O,B-Time","schedule the hand mirror presentation to Dror by next Wednesday at 10PM",39,"1","2025-04-12T09:26:40.384063Z",54,10.467,"Work","2025-04-12T09:26:40.384063Z"
"B-Task,O,B-Task,I-Task,I-Task,O,B-Date,I-Date,O,B-Time,I-Time","confirm the charger and charger by jul 22nd at 9:30 a.m.",40,"1","2025-04-12T09:26:48.807248Z",55,8.09,"Personal","2025-04-12T09:26:48.807248Z"
"B-Task,O,B-Task,I-Task,O,B-Date,I-Date,O,B-Time,I-Time","test the paper tray by the 25th at 11:00 PM",41,"1","2025-04-12T09:27:02.278182Z",56,13.152,"Household","2025-04-12T09:27:02.278182Z"
"O,O,B-Task,I-Task,I-Task,I-Task,I-Task,I-Task,I-Task,O,B-Date,I-Date,O,B-Time","Need to check the photo album before the webinar on october 30th at 6:15",42,"1","2025-04-12T09:27:10.421266Z",57,7.838,"Personal","2025-04-12T09:27:10.421266Z"
"B-Task,O,B-Task,I-Task,O,B-Date,I-Date,O,B-Time","schedule a nurse appointment on jul 2nd around noon",43,"1","2025-04-12T09:27:15.419195Z",58,4.688,"Health","2025-04-12T09:27:15.419195Z"
"B-Task,I-Task,O,O,B-Task,O,O,B-Date,I-Date,I-Date,O,B-Time,I-Time","watch Grandma on her reunion which is on the 24th at 6 AM.",44,"1","2025-04-12T09:27:18.963827Z",59,3.215,"Personal","2025-04-12T09:27:18.963827Z"
"O,O,O,B-Task,O,B-Task,I-Task,O,B-Date,O,B-Time","don't forget to organize the observance tickets by today at 5:00",45,"1","2025-04-12T09:27:22.540508Z",60,3.259,"Personal","2025-04-12T09:27:22.540508Z"
"B-Task,I-Task,I-Task,O,B-Task,I-Task,O,B-Date,O,B-Time","buy tournament for the team meeting this Sunday at five",46,"1","2025-04-12T09:27:27.583692Z",61,4.733,"Work","2025-04-12T09:27:27.583692Z"
"B-Task,O,B-Task,I-Task,B-Date,I-Date,I-Date,O,B-Time,I-Time","organize the radio report in five days at 11:50 a.m.",47,"1","2025-04-12T09:27:30.828786Z",62,2.92,"Work","2025-04-12T09:27:30.828786Z"
"B-Task,I-Task,I-Task,O,B-Task,O,B-Date,I-Date,O,B-Time","plan lyrics for the party on november 16th at 21:30",48,"1","2025-04-12T09:27:40.965292Z",63,9.817,"Personal","2025-04-12T09:27:40.965292Z"
"B-Task,I-Task,B-Date,I-Date,I-Date,O,B-Time","share Alison in five days around 3",49,"1","2025-04-12T09:27:44.503303Z",64,3.216,"Personal","2025-04-12T09:27:44.503303Z"
"B-Task,I-Task,O,B-Task,I-Task,I-Task,O,O,O,O,B-Date,I-Date,O,B-Time","sort out the monthly expense summary by the deadline on jul 2nd at 11:20",51,"1","2025-04-12T09:28:44.048379Z",66,5.716,"Work","2025-04-12T09:28:44.048379Z"
"B-Task,I-Task,I-Task,I-Task,I-Task,O,B-Date,O,B-Time","study a new coffee table by tomorrow at noon",52,"1","2025-04-12T09:28:49.532620Z",67,5.166,"Household","2025-04-12T09:28:49.532620Z"
"B-Task,I-Task,I-Task,B-Date,O,B-Time","read mail confirmation today at 7:20",54,"1","2025-04-12T09:29:09.338923Z",69,12.502,"Personal","2025-04-12T09:29:18.968748Z"
"B-Task,O,B-Task,I-Task,O,B-Task,I-Task,O,O,O,B-Date,O,B-Time","design a taxi for the math quiz on Sunday by today at 1:40",55,"1","2025-04-12T09:29:32.618163Z",70,9.999,"School","2025-04-12T09:29:32.618163Z"
"B-Task,O,B-Task,I-Task,B-Date,I-Date,I-Date,O,B-Time,I-Time","prioritize the pen report in ten days at 11:50 am",56,"1","2025-04-12T09:29:35.733785Z",71,2.761,"Work","2025-04-12T09:29:35.733785Z"
"O,O,O,B-Task,O,B-Task,I-Task,I-Task,I-Task,O,B-Time,O,B-Date","i need to submit the client presentation in Micheleside after 2:45 this Friday",57,"1","2025-04-12T09:29:38.654984Z",72,2.594,"Work","2025-04-12T09:29:38.654984Z"
"B-Task,O,B-Task,I-Task,O,B-Time,O,B-Date","complete the project report by 10pm on Tuesday",58,"1","2025-04-12T09:29:42.195803Z",73,3.231,"Work","2025-04-12T09:29:42.195803Z"
"O,O,O,B-Task,O,B-Task,I-Task,I-Task,O,B-Date,O,B-Time,I-Time","remind me to design the product launch report before Thursday at 8:30 a.m.",59,"1","2025-04-12T09:29:46.060453Z",74,2.864,"Work","2025-04-12T09:29:46.060453Z"
"B-Task,I-Task,O,B-Task,I-Task,I-Task,I-Task,I-Task,O,B-Task,O,B-Date,O,B-Time","drop off the mockup that Gal needs for the trip happening tomorrow at 8:45pm",60,"1","2025-04-12T09:30:03.988530Z",75,17.61,"Personal","2025-04-12T09:30:03.988530Z"
"B-Task,O,B-Task,I-Task,O,B-Time,O,B-Date","buy the project report by 3am on Saturday",61,"1","2025-04-12T09:30:11.083327Z",76,6.759,"Work","2025-04-12T09:30:11.083327Z"
"O,O,O,B-Task,I-Task,I-Task,O,O,O,B-Date,O,B-Time","I'm having a protest with Denise at the cafe tomorrow at noon",65,"1","2025-04-12T09:32:43.962353Z",80,75.721,"Personal","2025-04-12T09:32:43.962353Z"
"O,O,O,B-Task,O,B-Task,I-Task,I-Task,O,B-Task,O,B-Time,I-Time,B-Date","i need to watch an update mail to the team at 4:50 am tomorrow",66,"1","2025-04-12T09:32:59.002612Z",81,14.726,"Work","2025-04-12T09:32:59.002612Z"
"B-Task,I-Task,I-Task,I-Task,I-Task,O,B-Date,I-Date,O,B-Time,I-Time","set up Tahel's medical prescriptions on january 24th at 3:45 PM.",68,"1","2025-04-12T09:33:39.597429Z",83,8.799,"Health","2025-04-12T09:33:39.597429Z"
"B-Task,I-Task,I-Task,I-Task,O,B-Task,I-Task,I-Task,B-Date,B-Time","call UI mockup for the Port Bryan branch tomorrow noon",69,"1","2025-04-12T09:33:53.017712Z",84,6.238,"Work","2025-04-12T09:33:53.017712Z"
"B-Task,I-Task,I-Task,O,B-Task,O,B-Date,I-Date,O,B-Time","share lyrics for the tribute on december 4th at 21:30",70,"1","2025-04-12T09:33:56.933586Z",85,3.276,"Personal","2025-04-12T09:33:56.933586Z"
"B-Task,O,B-Task,I-Task,O,B-Task,I-Task,O,O,O,B-Date,O,B-Time","study a taxi for the client presentation on Wednesday by tomorrow at 12:30",71,"1","2025-04-12T09:34:02.713196Z",86,5.473,"Work","2025-04-12T09:34:02.713196Z"
"B-Task,O,B-Task,I-Task,O,B-Time,O,B-Date","reserve the project report by 8pm on Saturday",72,"1","2025-04-12T09:34:06.568808Z",87,3.546,"Work","2025-04-12T09:34:06.568808Z"
"B-Task,O,B-Task,I-Task,O,B-Time,O,B-Date","prioritize the project report by 2p.m. on Monday",74,"1","2025-04-12T09:34:23.662832Z",89,8.275,"Work","2025-04-12T09:34:23.663829Z"
"B-Task,I-Task,O,O,B-Task,O,O,B-Date,I-Date,I-Date,O,B-Time,I-Time","buy John on her fair which is on the 23rd at 11 a.m..",75,"1","2025-04-12T09:34:32.729410Z",90,8.749,"Personal","2025-04-12T09:34:32.729410Z"
"O,O,O,B-Task,I-Task,O,O,B-Date,I-Date,I-Date,O,B-Time","i have a training session scheduled for Monday next week at 4:45",77,"1","2025-04-12T09:35:00.456184Z",92,6.541,"Personal","2025-04-12T09:35:00.456184Z"
"O,O,O,B-Task,I-Task,I-Task,O,B-Date","i need to prepare a garden by Saturday.",78,"1","2025-04-12T09:35:11.516296Z",93,10.749,"Household","2025-04-12T09:35:11.516296Z"
"B-Task,O,B-Task,I-Task,I-Task,O,O,O,O,B-Date,I-Date,O,B-Time","email the monthly performance review by the deadline on april 22nd at 12:40.",79,"1","2025-04-12T09:35:20.325688Z",94,8.496,"Work","2025-04-12T09:35:20.325688Z"
"B-Task,I-Task,O,O,B-Task,O,O,B-Date,I-Date,I-Date","schedule John for his graduation which is tomorrow next week",80,"1","2025-04-12T09:35:24.687312Z",95,4.049,"Personal","2025-04-12T09:35:24.688309Z"
"B-Task,O,B-Task,I-Task,I-Task,I-Task,O,B-Date,O,B-Time,I-Time","review the report and review it by Friday at 8 pm",81,"1","2025-04-12T09:36:01.070873Z",96,36.051,"Work","2025-04-12T09:36:01.070873Z"
"O,O,O,B-Task,I-Task,I-Task,O,B-Date","i need to clean a charger by Monday.",82,"1","2025-04-12T09:37:00.330188Z",97,58.455,"Household","2025-04-12T09:37:00.330188Z"
"B-Task,O,B-Task,I-Task,O,B-Date,I-Date,O,B-Time,I-Time","analyze a chef appointment for next Thursday at 11:20 am",83,"1","2025-04-12T09:37:05.645420Z",98,4.818,"Personal","2025-04-12T09:37:05.645420Z"
"O,O,O,B-Task,O,B-Task,I-Task,O,B-Date,O,B-Time","don't forget to reserve the concert tickets by today at 12:15",84,"1","2025-04-12T09:37:11.189664Z",99,4.623,"Personal","2025-04-12T09:37:11.189664Z"
"B-Task,I-Task,B-Date,I-Date,I-Date,O,B-Time","update Mom in twelve days around 19",85,"1","2025-04-12T09:37:19.509051Z",100,8.005,"Personal","2025-04-12T09:37:19.509051Z"
"B-Task,I-Task,I-Task,I-Task,I-Task,I-Task,O,B-Time,B-Date,I-Date,I-Date","submit Lia to submit the note by midnight on the 4th",86,"1","2025-04-12T09:37:27.862184Z",101,8.026,"School","2025-04-12T09:37:27.862184Z"
"B-Task,I-Task,I-Task,I-Task,I-Task,I-Task,O,B-Date,I-Date","plan Noam about the project timeline by next week",87,"1","2025-04-12T09:37:37.367345Z",102,9.193,"Work","2025-04-12T09:37:37.367345Z"
"B-Task,I-Task,I-Task,I-Task,O,B-Task,I-Task,I-Task,B-Date,B-Time","finish car key for the North Garyton branch tomorrow noon",88,"1","2025-04-12T09:37:49.795467Z",103,12.111,"Work","2025-04-12T09:37:49.795467Z"
"B-Task,O,B-Task,I-Task,O,O,O,O,B-Date,O,B-Time","arrange the UI mockup before the exhibition on Tuesday at 2:30",89,"1","2025-04-12T09:38:38.118696Z",104,48.004,"Work","2025-04-12T09:38:38.118696Z"
"B-Task,O,B-Task,I-Task,I-Task,I-Task,I-Task,O,B-Date,I-Date,O,B-Time","reserve the coffee table hammer to Tahel by next Tuesday at 7a.m.",90,"1","2025-04-12T09:38:43.254851Z",105,4.812,"Household","2025-04-12T09:38:43.254851Z"
"B-Task,I-Task,I-Task,I-Task,I-Task,O,B-Task,I-Task,O,O,B-Date,I-Date,I-Date,O,B-Time,I-Time","deal with the pen for the physics project that is in four weeks at 5:15 PM",91,"1","2025-04-12T09:38:49.266827Z",106,5.711,"School","2025-04-12T09:38:49.266827Z"
"O,O,O,B-Task,O,B-Task,I-Task,I-Task,I-Task,I-Task,O,B-Time,I-Time,B-Date","i have to watch the presentation for the panel discussion at 11 PM tomorrow",92,"1","2025-04-12T09:38:58.618895Z",107,8.883,"Work","2025-04-12T09:38:58.618895Z"
"B-Task,I-Task,I-Task,I-Task,I-Task,O,B-Date,O,B-Time","design a new photo album by today at noon",93,"1","2025-04-12T09:39:01.933422Z",108,2.902,"Personal","2025-04-12T09:39:01.933422Z"
"B-Task,O,B-Task,I-Task,B-Date,I-Date,I-Date,O,B-Time,I-Time","design the mockup report in 11 days at 12:50 pm",94,"1","2025-04-12T09:39:06.083623Z",109,3.66,"Work","2025-04-12T09:39:06.083623Z"
"B-Task,O,B-Task,I-Task,I-Task,I-Task,I-Task,O,B-Date,O,B-Time,I-Time","practice a optometrist to inspect the dishes by tomorrow at 7 pm",95,"1","2025-04-12T09:39:21.528097Z",110,14.955,"Household","2025-04-12T09:39:21.528097Z"
"B-Task,O,B-Task,I-Task,O,B-Date,I-Date,O,B-Time","read a notebook follow-up by the 26th in 6",97,"1","2025-04-12T09:40:20.752362Z",112,11.486,"Work","2025-04-12T09:40:20.753359Z"
"B-Task,O,B-Task,I-Task,I-Task,I-Task,I-Task,O,B-Date,O,B-Time,I-Time","send a therapist to inspect the tablet by today at 5 a.m.",98,"1","2025-04-12T09:40:36.810167Z",113,15.738,"Household","2025-04-12T09:40:36.810167Z"
"B-Task,I-Task,O,O,B-Task,O,O,B-Date,I-Date,I-Date,O,B-Time,I-Time","email Noa on her carnival which is on the 29th at 5 am.",99,"1","2025-04-12T09:40:40.633766Z",114,3.506,"Personal","2025-04-12T09:40:40.633766Z"
"B-Task,I-Task,I-Task,I-Task,I-Task,O,B-Date,O,B-Time","finalize a new shower gel by today at noon",100,"1","2025-04-12T09:40:46.601022Z",115,5.636,"Household","2025-04-12T09:40:46.601022Z"
"B-Task,O,B-Task,I-Task,O,B-Time,O,B-Date","prepare the project report by 3a.m. on Monday",101,"1","2025-04-12T09:41:00.638323Z",116,13.718,"Work","2025-04-12T09:41:00.638323Z"
"O,O,B-Task,I-Task,I-Task,I-Task,I-Task,I-Task,I-Task,O,O,B-Date,B-Time","Remember to send with Shani about the client presentation scheduled for Saturday noon",103,"1","2025-04-12T09:41:49.169952Z",118,8.017,"Work","2025-04-12T09:41:49.169952Z"
"B-Task,I-Task,I-Task,I-Task,I-Task,I-Task,O,B-Date,I-Date","submit Ron about the product launch by next week",104,"1","2025-04-12T09:41:54.641921Z",119,5.131,"","2025-04-12T09:41:54.641921Z"
"B-Task,I-Task,O,B-Task,I-Task,B-Date,I-Date,I-Date","deal with my dry cleaning in 12 days",106,"1","2025-04-13T10:39:23.030254Z",121,11.714,"Household","2025-04-13T10:39:23.030254Z"
"O,B-Date,I-Date,O,B-Time,B-Task,O,B-Task,I-Task,I-Task","on december 6th at 19 email the project client presentation",107,"1","2025-04-13T10:39:29.599766Z",122,6.204,"Work","2025-04-13T10:39:29.599766Z"
"B-Task,I-Task,I-Task,B-Date,O,B-Time,I-Time","reserve birthday tickets today at 5:15 p.m..",108,"1","2025-04-13T10:39:33.480807Z",123,3.55,"Personal","2025-04-13T10:39:33.480807Z"
"B-Task,O,B-Task,I-Task,I-Task,O,B-Date,O,B-Time,I-Time","learn a table at Christine's for Saturday at 9:30 p.m.",109,"1","2025-04-13T10:39:40.708838Z",124,5.835,"Personal","2025-04-13T10:39:40.709838Z"
"B-Task,I-Task,I-Task,O,B-Task,O,B-Date,I-Date,O,B-Time","practice lyrics for the birthday on september 21st at 21:30",111,"1","2025-04-13T10:39:54.756854Z",126,3.893,"Personal","2025-04-13T10:39:54.756854Z"
"B-Task,I-Task,I-Task,O,B-Task,O,O,B-Time,O,B-Date,I-Date","prioritize book for the gathering scheduled at noon on nov 5th",112,"1","2025-04-13T10:40:00.447665Z",127,4.653,"","2025-04-13T10:40:00.447665Z"
"B-Task,I-Task,I-Task,I-Task,I-Task,I-Task,I-Task,I-Task,O,O,B-Date,I-Date,I-Date","finish reading chapter 7 of tech conference book until the 24th of oct",113,"1","2025-04-13T10:40:37.594121Z",128,27.586,"School","2025-04-13T10:40:37.594121Z"
"O,O,O,B-Task,O,B-Task,I-Task,I-Task,I-Task,O,B-Time,O,B-Date","i need to call the board meeting in Petersonberg after 3:00 this Friday",114,"1","2025-04-13T10:40:49.976109Z",129,11.951,"Work","2025-04-13T10:40:49.976109Z"
"B-Task,O,B-Task,I-Task,I-Task,O,O,O,O,B-Date,I-Date,O,B-Time","clean the monthly performance review by the deadline on jun 26th at 8:00.",115,"1","2025-04-13T10:40:57.105306Z",130,6.767,"Work","2025-04-13T10:40:57.105306Z"
"B-Task,O,B-Task,I-Task,I-Task,O,O,O,O,B-Date,I-Date,O,B-Time","study the monthly performance review by the deadline on september 6th at 1:30.",116,"1","2025-04-13T10:41:05.879411Z",131,8.452,"School","2025-04-13T10:41:05.879411Z"
"B-Task,I-Task,O,O,B-Task,O,O,B-Date,I-Date,I-Date","review Dad for his tribute which is tomorrow next week",117,"1","2025-04-13T10:41:11.577168Z",132,5.352,"Personal","2025-04-13T10:41:11.577168Z"
"B-Task,O,B-Task,I-Task,I-Task,I-Task,I-Task,O,B-Date,I-Date,O,B-Time","analyze the phone case garden to Noa by next Tuesday at 2a.m.",120,"1","2025-04-13T10:43:49.249362Z",135,12.733,"Personal","2025-04-13T10:43:49.249362Z"
"B-Task,I-Task,I-Task,O,B-Time,I-Time,B-Date,O,O,O","study the worker before 7 a.m. today and then study",122,"1","2025-04-13T10:43:59.351384Z",137,5.828,"Personal","2025-04-13T10:43:59.351384Z"
"O,O,O,B-Task,O,B-Task,I-Task,I-Task,O,B-Task,O,B-Time,I-Time,B-Date","i need to reserve an update mail to the team at 7:45 pm today",123,"1","2025-04-13T10:44:06.700631Z",138,7.027,"Work","2025-04-13T10:44:06.700631Z"
"O,O,O,B-Task,O,B-Task,I-Task,I-Task,O,B-Date,O,B-Time,I-Time","remind me to read the team lunch report before Tuesday at 5:15 am",124,"1","2025-04-13T10:44:20.262592Z",139,13.221,"Work","2025-04-13T10:44:20.262592Z"
"B-Task,I-Task,I-Task,B-Date,O,B-Time,I-Time","finish concert tickets tomorrow at 6:50 p.m..",125,"1","2025-04-13T10:45:01.305007Z",140,40.71,"Personal","2025-04-13T10:45:01.305007Z"
"O,O,O,B-Task,I-Task,I-Task,O,B-Date","i need to practice a note by Friday.",126,"1","2025-04-13T10:45:17.431004Z",141,15.767,"Personal","2025-04-13T10:45:17.431004Z"
"O,O,O,B-Task,I-Task,O,O,B-Date,I-Date,I-Date,O,B-Time","i have a board meeting scheduled for Wednesday next week at 8:50",127,"1","2025-04-13T10:45:21.650649Z",142,3.881,"Work","2025-04-13T10:45:21.650649Z"
"B-Task,I-Task,O,B-Task,I-Task,I-Task,I-Task,I-Task,O,B-Task,O,B-Date,O,B-Time","deal with the hammer that Daniel needs for the protest happening today at 5:15pm",129,"1","2025-04-13T10:45:49.741233Z",144,14.884,"Personal","2025-04-13T10:45:49.741233Z"
"B-Task,O,B-Task,I-Task,B-Date,I-Date,I-Date,O,B-Time,I-Time","clean the document report in six days at 9:10 a.m.",130,"1","2025-04-13T10:45:56.175259Z",145,6.107,"Work","2025-04-13T10:45:56.175259Z"
"B-Task,I-Task,O,B-Task,I-Task,I-Task,O,O,O,O,B-Date,I-Date,O,B-Time","drop off the monthly expense summary by the deadline on december 29th at 4:45",131,"1","2025-04-13T10:46:36.131612Z",146,39.609,"Work","2025-04-13T10:46:36.131612Z"
"B-Task,O,B-Task,I-Task,I-Task,I-Task,I-Task,O,B-Date,O,B-Time,I-Time","submit a nurse to inspect the banana by tomorrow at 1 AM",132,"1","2025-04-13T10:46:41.080982Z",147,4.614,"Health","2025-04-13T10:46:41.081493Z"
"B-Task,I-Task,I-Task,O,B-Task,O,B-Date,I-Date,O,B-Time,I-Time","send tickets for the concert on april 2nd at 12:45 a.m..",133,"1","2025-04-13T10:46:44.674448Z",148,3.268,"Personal","2025-04-13T10:46:44.674448Z"
"B-Task,O,B-Task,B-Date","call the album today",134,"1","2025-04-13T10:46:48.546643Z",149,2.989,"Personal","2025-04-13T10:46:48.546643Z"
"B-Task,I-Task,I-Task,I-Task,I-Task,O,B-Date,I-Date,O,B-Time,I-Time","pick up Grandpa's medical prescriptions on march 21st at 10:20 AM.",136,"1","2025-04-13T10:47:17.400477Z",151,20.074,"Health","2025-04-13T10:47:17.400477Z"
"O,O,O,B-Task,I-Task,I-Task,O,O,O,O,O,B-Date","i need to complete chapter four of the biology textbook by Tuesday.",137,"1","2025-04-13T10:47:22.596930Z",152,4.869,"School","2025-04-13T10:47:22.596930Z"
