Task,Label
share Noam about the training session by next week,"B-Task,I-Task,I-Task,I-Task,I-Task,I-Task,O,B-Date,I-Date"
don't forget to update the shopping tickets by today at 6:10,"O,O,O,B-Task,O,B-Task,I-Task,O,B-Date,O,B-Time"
sort out the printer for the product launch that is in six weeks at 12:50 PM,"B-Task,I-Task,I-Task,I-Task,I-Task,O,B-Task,I-Task,O,O,B-Date,I-Date,I-Date,O,B-Time,I-Time"
deal with the hammer for the panel discussion that is in four weeks at 11:45 pm,"B-Task,I-Task,I-Task,I-Task,I-Task,O,B-Task,I-Task,O,O,B-Date,I-Date,I-Date,O,B-Time,I-Time"
update the report and check it by Thursday at twelve pm,"B-Task,O,B-Task,I-Task,I-Task,I-Task,O,B-Date,O,B-Time,I-Time"
I'm having a shopping with Boss at the cafe tomorrow at noon,"O,O,O,B-Task,I-Task,I-Task,O,O,O,B-Date,O,B-Time"
i need to review chapter 12 of the biology textbook by Wednesday.,"O,O,O,B-Task,I-Task,I-Task,O,O,O,O,O,B-Date"
manage a plumber to inspect the intern by today at 5 AM,"B-Task,O,B-Task,I-Task,I-Task,I-Task,I-Task,O,B-Date,O,B-Time,I-Time"
book Noam to return the watermelon by midnight on the 17th,"B-Task,I-Task,I-Task,I-Task,I-Task,I-Task,O,B-Time,B-Date,I-Date,I-Date"
design demonstration for the team meeting this Friday at five,"B-Task,I-Task,I-Task,O,B-Task,I-Task,O,B-Date,O,B-Time"
prioritize mail confirmation tomorrow at 7:45,"B-Task,I-Task,I-Task,B-Date,O,B-Time"
set up the monthly expense summary by the deadline on june 2nd at 12:45,"B-Task,I-Task,O,B-Task,I-Task,I-Task,O,O,O,O,B-Date,I-Date,O,B-Time"
don't forget to mow the conference tickets by today at 7:00,"O,O,O,B-Task,O,B-Task,I-Task,O,B-Date,O,B-Time"
prepare the monthly performance review by the deadline on dec 6th at 7:40.,"B-Task,O,B-Task,I-Task,I-Task,O,O,O,O,B-Date,I-Date,O,B-Time"
go over Grandpa's medical prescriptions on apr 18th at 9:50 PM.,"B-Task,I-Task,I-Task,I-Task,I-Task,O,B-Date,I-Date,O,B-Time,I-Time"
follow up my dry cleaning in one days,"B-Task,I-Task,O,B-Task,I-Task,B-Date,I-Date,I-Date"
finish reading chapter 15 of product launch book until the 17th of nov,"B-Task,I-Task,I-Task,I-Task,I-Task,I-Task,I-Task,I-Task,O,O,B-Date,I-Date,I-Date"
attend code for the parade scheduled at noon on jun 20th,"B-Task,I-Task,I-Task,O,B-Task,O,O,B-Time,O,B-Date,I-Date"
tomorrow i have to buy the book for the mar lunch,"B-Date,O,O,O,B-Task,O,B-Task,I-Task,O,B-Task,I-Task"
manage the monthly performance review by the deadline on dec 10th at 4:45.,"B-Task,O,B-Task,I-Task,I-Task,O,O,O,O,B-Date,I-Date,O,B-Time"
read carnival for the client presentation this Thursday at six,"B-Task,I-Task,I-Task,O,B-Task,I-Task,O,B-Date,O,B-Time"
add a taxi for the networking event on Tuesday by tomorrow at 8:15,"B-Task,O,B-Task,I-Task,O,B-Task,I-Task,O,O,O,B-Date,O,B-Time"
confirm Lia's haircut gift before oct 22nd,"B-Task,I-Task,I-Task,I-Task,O,B-Date,I-Date"
complete the intern and intern by april 9th at 5:40 p.m.,"B-Task,O,B-Task,I-Task,I-Task,O,B-Date,I-Date,O,B-Time,I-Time"
review Tahel on her webinar which is on the 18th at 4 am.,"B-Task,I-Task,O,O,B-Task,O,O,B-Date,I-Date,I-Date,O,B-Time,I-Time"
finish reading chapter 71 of press conference book until the 17th of october,"B-Task,I-Task,I-Task,I-Task,I-Task,I-Task,I-Task,I-Task,O,O,B-Date,I-Date,I-Date"
check Hannah's movie gift before mar 21st,"B-Task,I-Task,I-Task,I-Task,O,B-Date,I-Date"
i need to organize an update mail to the team at 1:50 a.m. tomorrow,"O,O,O,B-Task,O,B-Task,I-Task,I-Task,O,B-Task,O,B-Time,I-Time,B-Date"
Need to return the paper tray before the gathering on october 25th at 5:15,"O,O,B-Task,I-Task,I-Task,I-Task,I-Task,I-Task,I-Task,O,B-Date,I-Date,O,B-Time"
Remember to reserve with Tahel about the project timeline scheduled for Tuesday noon,"O,O,B-Task,I-Task,I-Task,I-Task,I-Task,I-Task,I-Task,O,O,B-Date,B-Time"
today i have to clean the presentation for the march lunch,"B-Date,O,O,O,B-Task,O,B-Task,I-Task,O,B-Task,I-Task"
Need to complete the ice cream before the shopping on august 13th at 11:15,"O,O,B-Task,I-Task,I-Task,I-Task,I-Task,I-Task,I-Task,O,B-Date,I-Date,O,B-Time"
analyze Ron to confirm the watch by midnight on the 25th,"B-Task,I-Task,I-Task,I-Task,I-Task,I-Task,O,B-Time,B-Date,I-Date,I-Date"
read mail confirmation tomorrow at 1:30,"B-Task,I-Task,I-Task,B-Date,O,B-Time"
watch a barber appointment on april 5th around noon,"B-Task,O,B-Task,I-Task,O,B-Date,I-Date,O,B-Time"
i need to prepare a keyboard for the product launch by Saturday.,"O,O,O,B-Task,I-Task,I-Task,I-Task,O,B-Task,I-Task,O,B-Date"
review preliminary idea report by 6:00 AM on Thursday,"B-Task,I-Task,I-Task,I-Task,O,B-Time,I-Time,O,B-Date"
check UI mockup for the Port Nicolebury branch tomorrow noon,"B-Task,I-Task,I-Task,I-Task,O,B-Task,I-Task,I-Task,B-Date,B-Time"
prepare a table at Ron's for Wednesday at 3:10 pm,"B-Task,O,B-Task,I-Task,I-Task,O,B-Date,O,B-Time,I-Time"
Need to analyze the tooth brush before the protest on february 29th at 6:15,"O,O,B-Task,I-Task,I-Task,I-Task,I-Task,I-Task,I-Task,O,B-Date,I-Date,O,B-Time"
reserve the album report in twelve days at 9:10 PM,"B-Task,O,B-Task,I-Task,B-Date,I-Date,I-Date,O,B-Time,I-Time"
design inventory levels for the South Curtisborough branch tomorrow noon,"B-Task,I-Task,I-Task,I-Task,O,B-Task,I-Task,I-Task,B-Date,B-Time"
return Ron in 9 days around 23,"B-Task,I-Task,B-Date,I-Date,I-Date,O,B-Time"
analyze a optometrist appointment for next Thursday at 1:45 a.m.,"B-Task,O,B-Task,I-Task,O,B-Date,I-Date,O,B-Time,I-Time"
schedule preliminary idea report by 7:45 am on Monday,"B-Task,I-Task,I-Task,I-Task,O,B-Time,I-Time,O,B-Date"
return the tooth brush before the shopping on Monday at 9:15,"B-Task,O,B-Task,I-Task,O,O,O,O,B-Date,O,B-Time"
confirm preliminary idea report by 2:15 pm on Wednesday,"B-Task,I-Task,I-Task,I-Task,O,B-Time,I-Time,O,B-Date"
remind me to learn the physics project report before Friday at 5:30 pm,"O,O,O,B-Task,O,B-Task,I-Task,I-Task,O,B-Date,O,B-Time,I-Time"
today i have to prioritize the camera for the jan lunch,"B-Date,O,O,O,B-Task,O,B-Task,I-Task,O,B-Task,I-Task"
buy for the training session on Friday,"B-Task,I-Task,O,B-Task,I-Task,O,B-Date"
organize mail confirmation tomorrow at 5:30,"B-Task,I-Task,I-Task,B-Date,O,B-Time"
i have a team lunch scheduled for Thursday next week at 11:20,"O,O,O,B-Task,I-Task,O,O,B-Date,I-Date,I-Date,O,B-Time"
i need to prepare a code for the project timeline by Monday.,"O,O,O,B-Task,I-Task,I-Task,I-Task,O,B-Task,I-Task,O,B-Date"
reserve Shani for his haircut which is today next week,"B-Task,I-Task,O,O,B-Task,O,O,B-Date,I-Date,I-Date"
i need to send a document by Tuesday.,"O,O,O,B-Task,I-Task,I-Task,O,B-Date"
add the new mockup about onboarding next Saturday,"B-Task,O,B-Task,I-Task,I-Task,I-Task,B-Date,I-Date"
mow a phone follow-up by the 18th in 11,"B-Task,O,B-Task,I-Task,O,B-Date,I-Date,O,B-Time"
don't forget to prioritize the concert tickets by today at 2:40,"O,O,O,B-Task,O,B-Task,I-Task,O,B-Date,O,B-Time"
i need to learn chapter 10 of the biology textbook by Thursday.,"O,O,O,B-Task,I-Task,I-Task,O,O,O,O,O,B-Date"
check the monthly performance review by the deadline on march 22nd at 5:25.,"B-Task,O,B-Task,I-Task,I-Task,O,O,O,O,B-Date,I-Date,O,B-Time"
finish reading chapter 72 of press conference book until the 29th of may,"B-Task,I-Task,I-Task,I-Task,I-Task,I-Task,I-Task,I-Task,O,O,B-Date,I-Date,I-Date"
i have to call the presentation for the tech conference at 8 a.m. today,"O,O,O,B-Task,O,B-Task,I-Task,I-Task,I-Task,I-Task,O,B-Time,I-Time,B-Date"
Remember to clean with Noam about the team meeting scheduled for Sunday noon,"O,O,B-Task,I-Task,I-Task,I-Task,I-Task,I-Task,I-Task,O,O,B-Date,B-Time"
i need to coordinate an update mail to the team at 3:40 am tomorrow,"O,O,O,B-Task,O,B-Task,I-Task,I-Task,O,B-Task,O,B-Time,I-Time,B-Date"
submit a banana follow-up by the 26th in 16,"B-Task,O,B-Task,I-Task,O,B-Date,I-Date,O,B-Time"
prepare the project report by 1AM on Thursday,"B-Task,O,B-Task,I-Task,O,B-Time,O,B-Date"
schedule the lawn before 7 p.m. tomorrow and then send,"B-Task,I-Task,I-Task,O,B-Time,I-Time,B-Date,O,O,O"
send a table at Noam's for Sunday at 4:25 PM,"B-Task,O,B-Task,I-Task,I-Task,O,B-Date,O,B-Time,I-Time"
mow a electrician to inspect the note by tomorrow at 10 AM,"B-Task,O,B-Task,I-Task,I-Task,I-Task,I-Task,O,B-Date,O,B-Time,I-Time"
finish a chef appointment on mar 1st around noon,"B-Task,O,B-Task,I-Task,O,B-Date,I-Date,O,B-Time"
finish Shani on her movie which is on the 28th at 9 am.,"B-Task,I-Task,O,O,B-Task,O,O,B-Date,I-Date,I-Date,O,B-Time,I-Time"
finalize the report and share it by Wednesday at 2 pm,"B-Task,O,B-Task,I-Task,I-Task,I-Task,O,B-Date,O,B-Time,I-Time"
read tickets for the vacation on december 3rd at 7:30 AM.,"B-Task,I-Task,I-Task,O,B-Task,O,B-Date,I-Date,O,B-Time,I-Time"
learn lyrics for the ritual on aug 24th at 21:30,"B-Task,I-Task,I-Task,O,B-Task,O,B-Date,I-Date,O,B-Time"
prepare Dad's observance gift before nov 1st,"B-Task,I-Task,I-Task,I-Task,O,B-Date,I-Date"
finalize a photographer appointment on october 20th around noon,"B-Task,O,B-Task,I-Task,O,B-Date,I-Date,O,B-Time"
clean tickets for the ritual on march 8th at 4:30 a.m..,"B-Task,I-Task,I-Task,O,B-Task,O,B-Date,I-Date,O,B-Time,I-Time"
watch laptop for the reunion scheduled at noon on dec 18th,"B-Task,I-Task,I-Task,O,B-Task,O,O,B-Time,O,B-Date,I-Date"
prepare a manager appointment for next Wednesday at 7:00 p.m.,"B-Task,O,B-Task,I-Task,O,B-Date,I-Date,O,B-Time,I-Time"
confirm photo album for the West Ronald branch tomorrow noon,"B-Task,I-Task,I-Task,I-Task,O,B-Task,I-Task,I-Task,B-Date,B-Time"
return a therapist to inspect the lawn by tomorrow at 12 pm,"B-Task,O,B-Task,I-Task,I-Task,I-Task,I-Task,O,B-Date,O,B-Time,I-Time"
prioritize the camera report in eight days at 10:30 p.m.,"B-Task,O,B-Task,I-Task,B-Date,I-Date,I-Date,O,B-Time,I-Time"
finalize Grandpa for his reunion which is today next week,"B-Task,I-Task,O,O,B-Task,O,O,B-Date,I-Date,I-Date"
share for the team lunch on Sunday,"B-Task,I-Task,O,B-Task,I-Task,O,B-Date"
finish a rideshare for the commemoration which is on Wednesday by tomorrow at 3:20,"B-Task,I-Task,I-Task,I-Task,O,B-Task,O,O,O,O,O,B-Date,O,B-Time"
submit a new inventory levels by tomorrow at noon,"B-Task,I-Task,I-Task,I-Task,I-Task,O,B-Date,O,B-Time"
make sure to sort out the trip certification by tomorrow at midnight,"O,O,O,B-Task,I-Task,O,B-Task,I-Task,O,B-Date,O,B-Time"
schedule the report and submit it by Thursday at ten AM,"B-Task,O,B-Task,I-Task,I-Task,I-Task,O,B-Date,O,B-Time,I-Time"
confirm for the press conference on Saturday,"B-Task,I-Task,O,B-Task,I-Task,O,B-Date"
review Noam to submit the clock by midnight on the 3rd,"B-Task,I-Task,I-Task,I-Task,I-Task,I-Task,O,B-Time,B-Date,I-Date,I-Date"
go through the note that Ron needs for the conference happening today at 9:20AM,"B-Task,I-Task,O,B-Task,I-Task,I-Task,I-Task,I-Task,O,B-Task,O,B-Date,O,B-Time"
schedule a doctor appointment on october 13th around noon,"B-Task,O,B-Task,I-Task,O,B-Date,I-Date,O,B-Time"
i need to finalize chapter 11 of the biology textbook by Friday.,"O,O,O,B-Task,I-Task,I-Task,O,O,O,O,O,B-Date"
complete the project report by 7am on Saturday,"B-Task,O,B-Task,I-Task,O,B-Time,O,B-Date"
manage the new dishes made by Grandpa until Tuesday at 3:40,"B-Task,O,B-Task,I-Task,O,O,O,O,B-Date,O,B-Time"
schedule the charger and charger by december 26th at 1:25 am,"B-Task,O,B-Task,I-Task,I-Task,O,B-Date,I-Date,O,B-Time,I-Time"
i need to mow chapter eleven of the biology textbook by Saturday.,"O,O,O,B-Task,I-Task,I-Task,O,O,O,O,O,B-Date"
study book for the parade scheduled at noon on july 16th,"B-Task,I-Task,I-Task,O,B-Task,O,O,B-Time,O,B-Date,I-Date"
send a rideshare for the carnival which is on Friday by tomorrow at 10:50,"B-Task,I-Task,I-Task,I-Task,O,B-Task,O,O,O,O,O,B-Date,O,B-Time"
don't forget to call the carnival tickets by today at 9:45,"O,O,O,B-Task,O,B-Task,I-Task,O,B-Date,O,B-Time"
i need to send chapter eight of the biology textbook by Tuesday.,"O,O,O,B-Task,I-Task,I-Task,O,O,O,O,O,B-Date"
i need to watch a banana for the tech conference by Monday.,"O,O,O,B-Task,I-Task,I-Task,I-Task,O,B-Task,I-Task,O,B-Date"
Need to finalize the tooth brush before the birthday on mar 13th at 9:15,"O,O,B-Task,I-Task,I-Task,I-Task,I-Task,I-Task,I-Task,O,B-Date,I-Date,O,B-Time"
manage fair for the panel discussion this Wednesday at six,"B-Task,I-Task,I-Task,O,B-Task,I-Task,O,B-Date,O,B-Time"
send the report and add it by Friday at four AM,"B-Task,O,B-Task,I-Task,I-Task,I-Task,O,B-Date,O,B-Time,I-Time"
plan a table at Jose's for Friday at 2:10 p.m.,"B-Task,O,B-Task,I-Task,I-Task,O,B-Date,O,B-Time,I-Time"
i have to confirm the presentation for the team lunch at eight a.m. tomorrow,"O,O,O,B-Task,O,B-Task,I-Task,I-Task,I-Task,I-Task,O,B-Time,I-Time,B-Date"
i need to learn an update mail to the team at 6:45 a.m. today,"O,O,O,B-Task,O,B-Task,I-Task,I-Task,O,B-Task,O,B-Time,I-Time,B-Date"
arrange the ice cream dishes to Lia by next Thursday at 2PM,"B-Task,O,B-Task,I-Task,I-Task,I-Task,I-Task,O,B-Date,I-Date,O,B-Time"
i need to test chapter eight of the biology textbook by Tuesday.,"O,O,O,B-Task,I-Task,I-Task,O,O,O,O,O,B-Date"
learn the project report by 6am on Saturday,"B-Task,O,B-Task,I-Task,O,B-Time,O,B-Date"
finish reading chapter 84 of press conference book until the 20th of apr,"B-Task,I-Task,I-Task,I-Task,I-Task,I-Task,I-Task,I-Task,O,O,B-Date,I-Date,I-Date"
watch the paper tray by the 15th at 1:30 PM,"B-Task,O,B-Task,I-Task,O,B-Date,I-Date,O,B-Time,I-Time"
design the inventory levels by the 2nd at 12:25 pm,"B-Task,O,B-Task,I-Task,O,B-Date,I-Date,O,B-Time,I-Time"
complete the report and review it by Monday at 4 am,"B-Task,O,B-Task,I-Task,I-Task,I-Task,O,B-Date,O,B-Time,I-Time"
test the coffee table before the gathering on Monday at 7:40,"B-Task,O,B-Task,I-Task,O,O,O,O,B-Date,O,B-Time"
pick up the monthly expense summary by the deadline on march 16th at 3:25,"B-Task,I-Task,O,B-Task,I-Task,I-Task,O,O,O,O,B-Date,I-Date,O,B-Time"
reserve a doctor appointment for next Saturday at 7:45 p.m.,"B-Task,O,B-Task,I-Task,O,B-Date,I-Date,O,B-Time,I-Time"
attend Noa's party gift before july 8th,"B-Task,I-Task,I-Task,I-Task,O,B-Date,I-Date"
look into the computer that Dana needs for the demonstration happening tomorrow at 3:10a.m.,"B-Task,I-Task,O,B-Task,I-Task,I-Task,I-Task,I-Task,O,B-Task,O,B-Date,O,B-Time"
look into the lawn for the trade show that is in 1 weeks at 12:15 p.m.,"B-Task,I-Task,I-Task,I-Task,I-Task,O,B-Task,I-Task,O,O,B-Date,I-Date,I-Date,O,B-Time,I-Time"
Need to add the photo album before the flight on nov 9th at 3:15,"O,O,B-Task,I-Task,I-Task,I-Task,I-Task,I-Task,I-Task,O,B-Date,I-Date,O,B-Time"
finalize a optometrist to inspect the presentation by today at ten am,"B-Task,O,B-Task,I-Task,I-Task,I-Task,I-Task,O,B-Date,O,B-Time,I-Time"
clean the monthly performance review by the deadline on july 17th at 8:40.,"B-Task,O,B-Task,I-Task,I-Task,O,O,O,O,B-Date,I-Date,O,B-Time"
confirm a taxi for the team lunch on Friday by today at 9:50,"B-Task,O,B-Task,I-Task,O,B-Task,I-Task,O,O,O,B-Date,O,B-Time"
study Debra on her celebration which is on the 21st at 3 a.m..,"B-Task,I-Task,O,O,B-Task,O,O,B-Date,I-Date,I-Date,O,B-Time,I-Time"
go over the monthly expense summary by the deadline on dec 3rd at 10:20,"B-Task,I-Task,O,B-Task,I-Task,I-Task,O,O,O,O,B-Date,I-Date,O,B-Time"
add for the tech conference on Wednesday,"B-Task,I-Task,O,B-Task,I-Task,O,B-Date"
i need to practice a camera by Wednesday.,"O,O,O,B-Task,I-Task,I-Task,O,B-Date"
mow car key for the New Camerontown branch tomorrow noon,"B-Task,I-Task,I-Task,I-Task,O,B-Task,I-Task,I-Task,B-Date,B-Time"
wrap up the monthly expense summary by the deadline on oct 2nd at 6:25,"B-Task,I-Task,O,B-Task,I-Task,I-Task,O,O,O,O,B-Date,I-Date,O,B-Time"
prioritize watermelon for the rally scheduled at noon on aug 5th,"B-Task,I-Task,I-Task,O,B-Task,O,O,B-Time,O,B-Date,I-Date"
i have to check the presentation for the product launch at twelve PM tomorrow,"O,O,O,B-Task,O,B-Task,I-Task,I-Task,I-Task,I-Task,O,B-Time,I-Time,B-Date"
review a table at Dror's for Thursday at 11:45 am,"B-Task,O,B-Task,I-Task,I-Task,O,B-Date,O,B-Time,I-Time"
test for the networking event on Sunday,"B-Task,I-Task,O,B-Task,I-Task,O,B-Date"
return a nurse appointment for next Saturday at 10:15 pm,"B-Task,O,B-Task,I-Task,O,B-Date,I-Date,O,B-Time,I-Time"
check fair for the trade show this Wednesday at ten,"B-Task,I-Task,I-Task,O,B-Task,I-Task,O,B-Date,O,B-Time"
prioritize Noa's commemoration gift before jul 16th,"B-Task,I-Task,I-Task,I-Task,O,B-Date,I-Date"
study Dana for his festival which is today next week,"B-Task,I-Task,O,O,B-Task,O,O,B-Date,I-Date,I-Date"
plan a dentist to inspect the monitor by today at seven am,"B-Task,O,B-Task,I-Task,I-Task,I-Task,I-Task,O,B-Date,O,B-Time,I-Time"
i need to prepare an update mail to the team at 4:40 am today,"O,O,O,B-Task,O,B-Task,I-Task,I-Task,O,B-Task,O,B-Time,I-Time,B-Date"
design a new sales report by today at noon,"B-Task,I-Task,I-Task,I-Task,I-Task,O,B-Date,O,B-Time"
test the new banana made by Dror until Wednesday at 12:25,"B-Task,O,B-Task,I-Task,O,O,O,O,B-Date,O,B-Time"
i need to finalize an update mail to the team at 4:30 p.m. today,"O,O,O,B-Task,O,B-Task,I-Task,I-Task,O,B-Task,O,B-Time,I-Time,B-Date"
complete birthday for the project timeline this Wednesday at 11,"B-Task,I-Task,I-Task,O,B-Task,I-Task,O,B-Date,O,B-Time"
prioritize the project report by 5pm on Monday,"B-Task,O,B-Task,I-Task,O,B-Time,O,B-Date"
today i have to practice the presentation for the april lunch,"B-Date,O,O,O,B-Task,O,B-Task,I-Task,O,B-Task,I-Task"
return hand mirror for the New Brooke branch tomorrow noon,"B-Task,I-Task,I-Task,I-Task,O,B-Task,I-Task,I-Task,B-Date,B-Time"
plan a nurse appointment on dec 28th around noon,"B-Task,O,B-Task,I-Task,O,B-Date,I-Date,O,B-Time"
learn the new apple about onboarding next Monday,"B-Task,O,B-Task,I-Task,I-Task,I-Task,B-Date,I-Date"
finish Gal in nine days around 7,"B-Task,I-Task,B-Date,I-Date,I-Date,O,B-Time"
update a new sales report by today at noon,"B-Task,I-Task,I-Task,I-Task,I-Task,O,B-Date,O,B-Time"
don't forget to arrange the haircut tickets by tomorrow at 5:25,"O,O,O,B-Task,O,B-Task,I-Task,O,B-Date,O,B-Time"
prioritize the new trousers made by Dad until Sunday at 1:15,"B-Task,O,B-Task,I-Task,O,O,O,O,B-Date,O,B-Time"
buy a headphones follow-up by the 12th in 7,"B-Task,O,B-Task,I-Task,O,B-Date,I-Date,O,B-Time"
go through the presentation for the physics project that is in 7 weeks at 8:15 p.m.,"B-Task,I-Task,I-Task,I-Task,I-Task,O,B-Task,I-Task,O,O,B-Date,I-Date,I-Date,O,B-Time,I-Time"
complete the project report by 10p.m. on Monday,"B-Task,O,B-Task,I-Task,O,B-Time,O,B-Date"
on mar 31st at 17 prepare the project panel discussion,"O,B-Date,I-Date,O,B-Time,B-Task,O,B-Task,I-Task,I-Task"
sort out the hammer that Boss needs for the wedding happening tomorrow at 5:15am,"B-Task,I-Task,O,B-Task,I-Task,I-Task,I-Task,I-Task,O,B-Task,O,B-Date,O,B-Time"
on november 15th at 15 coordinate the project product launch,"O,B-Date,I-Date,O,B-Time,B-Task,O,B-Task,I-Task,I-Task"
set up the table for the physics project that is in eleven weeks at 7:10 pm,"B-Task,I-Task,I-Task,I-Task,I-Task,O,B-Task,I-Task,O,O,B-Date,I-Date,I-Date,O,B-Time,I-Time"
Need to reserve the phone case before the rally on jun 14th at 9:15,"O,O,B-Task,I-Task,I-Task,I-Task,I-Task,I-Task,I-Task,O,B-Date,I-Date,O,B-Time"
sort out the watch that Boss needs for the concert happening tomorrow at 12:50p.m.,"B-Task,I-Task,O,B-Task,I-Task,I-Task,I-Task,I-Task,O,B-Task,O,B-Date,O,B-Time"
book the paper tray by the 1st at 7:40 am,"B-Task,O,B-Task,I-Task,O,B-Date,I-Date,O,B-Time,I-Time"
i need to prioritize the physics project in Rodriguezborough after 4:10 this Wednesday,"O,O,O,B-Task,O,B-Task,I-Task,I-Task,I-Task,O,B-Time,O,B-Date"
i need to share chapter eight of the biology textbook by Thursday.,"O,O,O,B-Task,I-Task,I-Task,O,O,O,O,O,B-Date"
read Mom to return the banana by midnight on the 24th,"B-Task,I-Task,I-Task,I-Task,I-Task,I-Task,O,B-Time,B-Date,I-Date,I-Date"
remind me to finalize the physics project report before Monday at 7:30 am,"O,O,O,B-Task,O,B-Task,I-Task,I-Task,O,B-Date,O,B-Time,I-Time"
look into the monthly expense summary by the deadline on november 13th at 5:25,"B-Task,I-Task,O,B-Task,I-Task,I-Task,O,O,O,O,B-Date,I-Date,O,B-Time"
manage the monitor before 2 AM today and then return,"B-Task,I-Task,I-Task,O,B-Time,I-Time,B-Date,O,O,O"
book Noa to send the radio by midnight on the 9th,"B-Task,I-Task,I-Task,I-Task,I-Task,I-Task,O,B-Time,B-Date,I-Date,I-Date"
book a chef to inspect the apple by today at 4 am,"B-Task,O,B-Task,I-Task,I-Task,I-Task,I-Task,O,B-Date,O,B-Time,I-Time"
complete the report and review it by Thursday at ten pm,"B-Task,O,B-Task,I-Task,I-Task,I-Task,O,B-Date,O,B-Time,I-Time"
finalize the inventory levels by the 2nd at 8:15 AM,"B-Task,O,B-Task,I-Task,O,B-Date,I-Date,O,B-Time,I-Time"
read mail confirmation tomorrow at 4:40,"B-Task,I-Task,I-Task,B-Date,O,B-Time"
deal with my dry cleaning in six days,"B-Task,I-Task,O,B-Task,I-Task,B-Date,I-Date,I-Date"
sort out my dry cleaning in nine days,"B-Task,I-Task,O,B-Task,I-Task,B-Date,I-Date,I-Date"
watch a table at Lia's for Monday at 3:50 AM,"B-Task,O,B-Task,I-Task,I-Task,O,B-Date,O,B-Time,I-Time"
finalize a table at Grandma's for Sunday at 12:25 AM,"B-Task,O,B-Task,I-Task,I-Task,O,B-Date,O,B-Time,I-Time"
go through the monthly expense summary by the deadline on mar 6th at 10:00,"B-Task,I-Task,O,B-Task,I-Task,I-Task,O,O,O,O,B-Date,I-Date,O,B-Time"
clean the monthly performance review by the deadline on august 29th at 1:40.,"B-Task,O,B-Task,I-Task,I-Task,O,O,O,O,B-Date,I-Date,O,B-Time"
